Dia,Mes,Año,Festivo,Dia_Semana,dias_laborales,Unidades predecidas
3,6,2018,0,6,0,26.706736
4,6,2018,1,0,0,29.747513
5,6,2018,0,1,1,637.2625
6,6,2018,0,2,1,892.12195
7,6,2018,0,3,1,921.69635
8,6,2018,0,4,1,926.12775
9,6,2018,0,5,1,261.7106
10,6,2018,0,6,0,26.706736
11,6,2018,1,0,0,27.209618
12,6,2018,0,1,1,811.123
13,6,2018,0,2,1,903.87695
14,6,2018,0,3,1,926.12775
15,6,2018,0,4,1,926.12775
16,6,2018,0,5,1,244.00954
17,6,2018,0,6,0,26.706736
18,6,2018,0,0,1,707.52246
19,6,2018,0,1,1,811.123
20,6,2018,0,2,1,903.87695
21,6,2018,0,3,1,962.462
22,6,2018,0,4,1,962.462
23,6,2018,0,5,1,244.00954
24,6,2018,0,6,0,26.706736
25,6,2018,0,0,1,723.1606
26,6,2018,0,1,1,980.4237
27,6,2018,0,2,1,1191.8801
28,6,2018,0,3,1,1407.4795
29,6,2018,0,4,1,1691.248
30,6,2018,0,5,1,874.14197
1,7,2018,0,6,0,26.706736
2,7,2018,1,0,0,18.271759
3,7,2018,0,1,1,637.2625
4,7,2018,0,2,1,889.2453
5,7,2018,0,3,1,914.3983
6,7,2018,0,4,1,921.69635
7,7,2018,0,5,1,232.33345
8,7,2018,0,6,0,26.706736
9,7,2018,0,0,1,720.575
10,7,2018,0,1,1,811.123
11,7,2018,0,2,1,903.87695
12,7,2018,0,3,1,926.12775
13,7,2018,0,4,1,926.12775
14,7,2018,0,5,1,255.2304
15,7,2018,0,6,0,26.706736
16,7,2018,0,0,1,720.575
17,7,2018,0,1,1,811.123
18,7,2018,0,2,1,903.87695
19,7,2018,0,3,1,926.12775
20,7,2018,1,4,0,49.470592
21,7,2018,0,5,1,244.00954
22,7,2018,0,6,0,26.706736
23,7,2018,0,0,1,719.6133
24,7,2018,0,1,1,906.7755
25,7,2018,0,2,1,1022.2973
26,7,2018,0,3,1,1089.1276
27,7,2018,0,4,1,1337.5874
28,7,2018,0,5,1,530.8961
29,7,2018,0,6,0,29.470425
30,7,2018,0,0,1,1544.6599
31,7,2018,0,1,1,1725.4644
1,8,2018,0,2,1,748.7529
2,8,2018,0,3,1,746.85205
3,8,2018,0,4,1,920.09216
4,8,2018,0,5,1,206.1334
5,8,2018,0,6,0,26.706736
6,8,2018,0,0,1,631.95013
7,8,2018,1,1,0,50.73297
8,8,2018,0,2,1,909.5708
9,8,2018,0,3,1,931.8216
10,8,2018,0,4,1,931.8216
